"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.161176958E0,1.542841644E0,-9.452243958E0,1.490450592E0,9.692611575E0
3.171161958E0,-5.056484985E-1,-9.033714294E0,1.485959930E0,9.169064907E0
3.181146958E0,-1.912123718E0,-7.809559937E0,4.897814941E-1,8.055143042E0
3.191131958E0,-8.578660583E-1,-5.908064117E0,-1.917512512E-1,5.973100060E0
3.201116958E0,2.543211365E-1,-3.948339386E0,-1.046324158E-1,3.957904886E0
3.211101958E0,1.150208130E0,-2.833158417E0,2.634521484E-2,3.057852094E0
3.221087958E0,1.312321014E0,-1.264869690E0,8.729846191E-1,2.020936397E0
3.231072958E0,1.225950623E-1,8.205935669E-1,1.242266693E0,1.493864080E0
3.241057958E0,-4.745132446E-1,2.637814636E0,2.802322540E0,3.877659151E0
3.251042958E0,-5.643264771E-1,2.930456085E0,1.817071381E0,3.493964173E0
