"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.104336833E0,6.572232971E0,-5.965843964E0,3.406915283E-1,8.882657887E0
3.114321833E0,6.816824341E0,-5.808970184E0,1.172062683E-1,8.956950709E0
3.124306833E0,7.034771118E0,-5.616021423E0,-6.676116943E-2,9.001786399E0
3.134291833E0,7.283703461E0,-5.425467682E0,-1.685494995E-1,9.083856263E0
3.144276833E0,7.513625336E0,-5.307213593E0,-2.775228882E-1,9.203157108E0
3.154261833E0,7.819140015E0,-5.268893280E0,-3.219804382E-1,9.434185623E0
3.164246833E0,8.045169983E0,-5.267246704E0,-2.809657288E-1,9.620165780E0
3.174231833E0,8.118667145E0,-5.411396942E0,-1.788780212E-1,9.758481973E0
3.184216833E0,8.193810883E0,-5.685926056E0,-1.440005493E-1,9.974418682E0
3.194201833E0,8.308622131E0,-6.105952606E0,-3.323089600E-2,1.031101175E1
3.204186833E0,8.445287933E0,-6.553970947E0,1.868115234E-1,1.069169407E1
3.214171833E0,8.603059845E0,-6.969057770E0,5.017565918E-1,1.108296732E1
3.224156833E0,8.781937866E0,-7.354356537E0,8.869056702E-1,1.148893356E1
3.234141833E0,9.012608185E0,-7.698939972E0,1.215173035E0,1.191542817E1
3.244126833E0,9.319320374E0,-8.032296753E0,1.567689972E0,1.240262775E1
3.254111833E0,9.654024353E0,-8.308921509E0,1.884730682E0,1.287596880E1
3.264096833E0,1.004216721E1,-8.453371124E0,2.156116333E0,1.330238487E1
3.274081833E0,1.052760773E1,-8.591533813E0,2.259551239E0,1.377499726E1
